Category,Sub-category,Sub-sub-category,Name,Readable Name,Readable Name (FR),# of bytes,Byte 1,Byte 2,Variable R/W status,Type,Argument(s) type(s) & value(s),Return type & value,Comments,Description
,,,\u00f6,ö,ö,2,BB,8D,,Text/Symbol only,,,,
,,,\u00da,Ú,Ú,2,BB,8E,,Text/Symbol only,,,,
,,,\u00d9,Ù,Ù,2,BB,8F,,Text/Symbol only,,,,
,,,\u00db,Û,Û,2,BB,90,,Text/Symbol only,,,,
,,,\u00dc,Ü,Ü,2,BB,91,,Text/Symbol only,,,,
,,,\u00fa,ú,ú,2,BB,92,,Text/Symbol only,,,,
,,,\u00f9,ù,ù,2,BB,93,,Text/Symbol only,,,,
,,,\u00fb,û,û,2,BB,94,,Text/Symbol only,,,,
,,,\u00fc,ü,ü,2,BB,95,,Text/Symbol only,,,,
,,,\u00c7,Ç,Ç,2,BB,96,,Text/Symbol only,,,,
,,,\u00e7,ç,ç,2,BB,97,,Text/Symbol only,,,,
,,,\u00d1,Ñ,Ñ,2,BB,98,,Text/Symbol only,,,,
,,,\u00f1,ñ,ñ,2,BB,99,,Text/Symbol only,,,,
,,,\u00b4,´,´,2,BB,9A,,Text/Symbol only,,,,
,,,\u00a8,¨,¨,2,BB,9C,,Text/Symbol only,,,,
,,,\u00bf,¿,¿,2,BB,9D,,Text/Symbol only,,,,
,,,\u00a1,¡,¡,2,BB,9E,,Text/Symbol only,,,,
,,,\u03b1,α,α,2,BB,9F,,Text/Symbol only,,,,
,,,\u03b2,β,β,2,BB,A0,,Text/Symbol only,,,,
,,,\u03b3,γ,γ,2,BB,A1,,Text/Symbol only,,,,
,,,\uf024,Δ,Δ,2,BB,A2,,Text/Symbol only,,,,
,,,\u03b4,δ,δ,2,BB,A3,,Text/Symbol only,,,,
,,,\u03b5,ε,ε,2,BB,A4,,Text/Symbol only,,,,
,,,\u03bb,λ,λ,2,BB,A5,,Text/Symbol only,,,,
,,,\u00b5,μ,μ,2,BB,A6,,Text/Symbol only,,,,
,,,\u03c1,|π,|π,2,BB,A7,,Text/Symbol only,,,,
,,,\u03c1,ρ,ρ,2,BB,A8,,Text/Symbol only,,,,
,,,\u03a3,Σ,Σ,2,BB,A9,,Text/Symbol only,,,,
,,,\u03c6,Φ,Φ,2,BB,AB,,Text/Symbol only,,,,
,,,\u03a9,Ω,Ω,2,BB,AC,,Text/Symbol only,,,,
,,,ṗ,ṗ,ṗ,2,BB,AD,,Text/Symbol only,,,,
,,,\u03c7,χ,χ,2,BB,AE,,Text/Symbol only,,,,
,,,|F,|F,|F,2,BB,AF,,Text/Symbol only,,,,
,,,a,a,a,2,BB,B0,,Text/Symbol only,,,,
,,,b,b,b,2,BB,B1,,Text/Symbol only,,,,
,,,c,c,c,2,BB,B2,,Text/Symbol only,,,,
,,,d,d,d,2,BB,B3,,Text/Symbol only,,,,
,,,e,e,e,2,BB,B4,,Text/Symbol only,,,,
,,,f,f,f,2,BB,B5,,Text/Symbol only,,,,
,,,g,g,g,2,BB,B6,,Text/Symbol only,,,,
,,,h,h,h,2,BB,B7,,Text/Symbol only,,,,
,,,i,i,i,2,BB,B8,,Text/Symbol only,,,,
,,,j,j,j,2,BB,B9,,Text/Symbol only,,,,
,,,k,k,k,2,BB,BA,,Text/Symbol only,,,,
,,,l,l,l,2,BB,BC,,Text/Symbol only,,,,
,,,m,m,m,2,BB,BD,,Text/Symbol only,,,,
,,,n,n,n,2,BB,BE,,Text/Symbol only,,,,
,,,o,o,o,2,BB,BF,,Text/Symbol only,,,,
,,,p,p,p,2,BB,C0,,Text/Symbol only,,,,
,,,q,q,q,2,BB,C1,,Text/Symbol only,,,,
,,,r,r,r,2,BB,C2,,Text/Symbol only,,,,
,,,s,s,s,2,BB,C3,,Text/Symbol only,,,,
,,,t,t,t,2,BB,C4,,Text/Symbol only,,,,
,,,u,u,u,2,BB,C5,,Text/Symbol only,,,,
,,,v,v,v,2,BB,C6,,Text/Symbol only,,,,
,,,w,w,w,2,BB,C7,,Text/Symbol only,,,,
,,,x,x,x,2,BB,C8,,Text/Symbol only,,,,
,,,y,y,y,2,BB,C9,,Text/Symbol only,,,,
,,,z,z,z,2,BB,CA,,Text/Symbol only,,,,
,,,\u03c3,σ,σ,2,BB,CB,,Text/Symbol only,,,,
,,,\u03c4,τ,τ,2,BB,CC,,Text/Symbol only,,,,
,,,\u00cd,Í,Í,2,BB,CD,,Text/Symbol only,,,,
,,,GarbageCollect,GarbageCollect,RéorganiserMém,2,BB,CE,,Action,,,,
,,,~,~,~,2,BB,CF,,Text/Symbol only,,,CF-DA: 83+ 1.15 or later,
,,,@,@,@,2,BB,D1,,Text/Symbol only,,,,
,,,#,#,#,2,BB,D2,,Text/Symbol only,,,,
,,,$,$,$,2,BB,D3,,Text/Symbol only,,,,
,,,&,&,&,2,BB,D4,,Text/Symbol only,,,,
,,,`,`,`,2,BB,D5,,Text/Symbol only,,,,
,,,;,;,;,2,BB,D6,,Text/Symbol only,,,,
,,,\,\,\,2,BB,D7,,Text/Symbol only,,,,
,,,|,|,|,2,BB,D8,,Text/Symbol only,,,,
,,,_,_,_,2,BB,D9,,Text/Symbol only,,,,
,,,%,%,%,2,BB,DA,,Postfix operator,,,,
,,,\u2026,…,…,2,BB,DB,,Text/Symbol only,,,DB-F5: 83+ 1.16 or later,
,,,\u2220,∠,∠,2,BB,DC,,Text/Symbol only,,,,
,,,\u00df,ß,ß,2,BB,DD,,Text/Symbol only,,,,
,,,\uf006,ˣ,ˣ,2,BB,DE,,Text/Symbol only,,,,
,,,\uf038,ᴛ,ᴛ,2,BB,DF,,Text/Symbol only,,,,
,,,\u2080,₀,₀,2,BB,E0,,Text/Symbol only,,,,
,,,\u2081,₁,₁,2,BB,E1,,Text/Symbol only,,,,
,,,\u2082,₂,₂,2,BB,E2,,Text/Symbol only,,,,
,,,\u2083,₃,₃,2,BB,E3,,Text/Symbol only,,,,
,,,\u2084,₄,₄,2,BB,E4,,Text/Symbol only,,,,
,,,\u2085,₅,₅,2,BB,E5,,Text/Symbol only,,,,
,,,\u2086,₆,₆,2,BB,E6,,Text/Symbol only,,,,
,,,\u2087,₇,₇,2,BB,E7,,Text/Symbol only,,,,
,,,\u2088,₈,₈,2,BB,E8,,Text/Symbol only,,,,
,,,\u2089,₉,₉,2,BB,E9,,Text/Symbol only,,,,
,,,\uf01d,₁₀,₁₀,2,BB,EA,,Text/Symbol only,,,,
,,,\uf00b,◄,◄,2,BB,EB,,Text/Symbol only,,,,
,,,\uf014,►,►,2,BB,EC,,Text/Symbol only,,,,
,,,\u2191,↑,↑,2,BB,ED,,Text/Symbol only,,,,
,,,\u2193,↓,↓,2,BB,EE,,Text/Symbol only,,,,
,,,\u00d7,×,×,2,BB,F0,,Text/Symbol only,,,,
,,,\u222b,∫,∫,2,BB,F1,,Text/Symbol only,,,,
,,,\uf015,bold ↑,bold ↑,2,BB,F2,,Text/Symbol only,,,,
,,,\uf016,bold ↓,bold ↓,2,BB,F3,,Text/Symbol only,,,,
,,,\u221a,√,√,2,BB,F4,,Text/Symbol only,,,,
,,,\u015c,inverted =,inverted =,2,BB,F5,,Text/Symbol only,,,,
,,,\u221a(,√(,√(,1,BC,,,Function,,,,
,,,\uf00d\u221a(,³√(,³√(,1,BD,,,Function,,,,
,,,ln(,ln(,ln(,1,BE,,,Function,,,,
,,,\uf03f^(,e^(,e^(,1,BF,,,Function,,,,
,,,log(,log(,log(,1,C0,,,Function,,,,
,,,\uf01d^(,₁₀^(,₁₀^(,1,C1,,,Function,,,,
,,,sin(,sin(,sin(,1,C2,,,Function,,,,
,,,sin\uf005(,sin⁻¹(,Arcsin(,1,C3,,,Function,,,,
,,,cos(,cos(,cos(,1,C4,,,Function,,,,
,,,cos\uf005(,cos⁻¹(,Arccos(,1,C5,,,Function,,,,
,,,tan(,tan(,tan(,1,C6,,,Function,,,,
,,,tan\uf005(,tan⁻¹(,Arctan(,1,C7,,,Function,,,,
,,,sinh(,sinh(,sh(,1,C8,,,Function,,,,
,,,sinh\uf005(,sinh⁻¹(,Argsh(,1,C9,,,Function,,,,
,,,cosh(,cosh(,ch(,1,CA,,,Function,,,,
,,,cosh\uf005(,soch⁻¹(,Argch(,1,CB,,,Function,,,,
,,,tanh(,tanh(,th(,1,CC,,,Function,,,,
,,,tanh\uf005(,tanh⁻¹(,Argth(,1,CD,,,Function,,,,
,,,If ,If ,If ,1,CE,,,BASIC instruction only,,,,
,,,Then,Then,Then,1,CF,,,BASIC instruction only,,,,
,,,Else,Else,Else,1,D0,,,BASIC instruction only,,,,
,,,While ,While ,While ,1,D1,,,BASIC instruction only,,,,
,,,Repeat ,Repeat ,Repeat ,1,D2,,,BASIC instruction only,,,,
,,,For(,For(,For(,1,D3,,,BASIC instruction only,,,,
,,,End,End,End,1,D4,,,BASIC instruction only,,,,
,,,Return,Return,Return,1,D5,,,BASIC instruction only,,,,
,,,Lbl ,Lbl ,Lbl ,1,D6,,,BASIC instruction only,,,,
,,,Goto ,Goto ,Goto ,1,D7,,,BASIC instruction only,,,,
,,,Pause ,Pause ,Pause ,1,D8,,,BASIC instruction only,,,,
,,,Stop,Stop,Stop,1,D9,,,BASIC instruction only,,,,
,,,IS>(,IS>(,IS>(,1,DA,,,BASIC instruction only,,,,
,,,DS<(,DS<(,DS<(,1,DB,,,BASIC instruction only,,,,
,,,Input ,Input ,Input ,1,DC,,,BASIC instruction only,,,,
,,,Prompt ,Prompt ,Prompt ,1,DD,,,BASIC instruction only,,,,
,,,Disp ,Disp ,Disp ,1,DE,,,BASIC instruction only,,,,
,,,DispGraph,DispGraph,AffGraph,1,DF,,,BASIC instruction only,,,,
,,,Output(,Output(,Output(,1,E0,,,BASIC instruction only,,,,
,,,ClrHome,ClrHome,EffEcran,1,E1,,,BASIC instruction only,,,,
,,,Fill(,Fill(,Remplir(,1,E2,,,Function,,,,
,,,SortA(,SortA(,Tricroi(,1,E3,,,Function,,,,
,,,SortD(,SortD(,Tridécroi(,1,E4,,,Function,,,,
,,,DispTable,DispTable,AffTable,1,E5,,,Action,,,,
,,,Menu(,Menu(,Menu(,1,E6,,,Function,,,,
,,,Send(,Send(,Envoi(,1,E7,,,Function,,,,
,,,Get(,Get(,Capt(,1,E8,,,Function,,,,
,,,PlotsOn ,PlotsOn ,GraphAff ,1,E9,,,Action,,,,
,,,PlotsOff ,PlotsOff ,GraphNAff ,1,EA,,,Action,,,,
,,,\u230a,⌊,⌊,1,EB,,,Other,,,,
,,,Plot1(,Plot1(,Graph1(,1,EC,,,Function,,,,
,,,Plot2(,Plot2(,Graph2(,1,ED,,,Function,,,,
,,,Plot3(,Plot3(,Graph3(,1,EE,,,Function,,,,
,,,setDate(,setDate(,défDate(,2,EF,0,,Function,,,EFXX tokens are TI-84+ and later only,
,,,setTime(,setTime(,défHeure(,2,EF,1,,Function,,,,
,,,checkTmr(,checkTmr(,AffMintr(,2,EF,2,,Function,,,,
,,,setDtFmt(,setDtFmt(,défFmtDt(,2,EF,3,,Function,,,,
,,,setTmFmt(,setTmFmt(,défFmtHr(,2,EF,4,,Function,,,,
,,,timeCnv(,timeCnv(,convHeur(,2,EF,5,,Function,,,,
,,,dayOfWk(,dayOfWk(,joursem(,2,EF,6,,Function,,,,
,,,getDtStr(,getDtStr(,AffChDt(,2,EF,7,,Function,,,,
,,,getTmStr(,getTmStr(,affChHr(,2,EF,8,,Function,,,,
,,,getDate,getDate,affDate,2,EF,9,,Function,,,,
,,,getTime,getTime,affHeure,2,EF,0A,,Function,,,,
,,,startTmr,startTmr,actMintr ,2,EF,0B,,Function,,,,
,,,getDtFmt,getDtFmt,affFmtDt,2,EF,0C,,Function,,,,
,,,getTmFmt,getTmFmt,affFmtHr,2,EF,0D,,Function,,,,
,,,isClockOn,isClockOn,actHorl,2,EF,0E,,Function,,,,
,,,ClockOff,ClockOff,HorlNAff,2,EF,0F,,Action,,,,
,,,ClockOn,ClockOn,HorlAff,2,EF,10,,Action,,,,
,,,OpenLib(,OpenLib(,OuvrirBiblio(,2,EF,11,,Function,,,,
,,,ExecLib,ExecLib,ExécBiblio,2,EF,12,,Action,,,,
,,,invT(,invT(,invT(,2,EF,13,,Function,,,,
,,,\u03c7\u00b2GOF-Test(,χ²GOF-Test(,χ²GOF-Test(,2,EF,14,,Function,,,,
,,,LinRegTInt ,LinRegTInt ,LinRegTInt ,2,EF,15,,Function,,,,
,,,Manual-Fit ,Manual-Fit ,Manual-Fit ,2,EF,16,,Function,,,,
,,,ZQuadrant1,ZQuadrant1,ZQuadrant1,2,EF,17,,Action,,,,
,,,ZFrac1\uf01e2,ZFrac1⁄2,ZFrac1⁄2,2,EF,18,,Action,,,,
,,,ZFrac1\uf01e3,ZFrac1⁄3,ZFrac1⁄3,2,EF,19,,Action,,,,
,,,ZFrac1\uf01e4,ZFrac1⁄4,ZFrac1⁄4,2,EF,1A,,Action,,,,
,,,ZFrac1\uf01e5,ZFrac1⁄5,ZFrac1⁄5,2,EF,1B,,Action,,,,
,,,ZFrac1\uf01e8,ZFrac1⁄8,ZFrac1⁄8,2,EF,1C,,Action,,,,
,,,ZFrac1\uf01e10,ZFrac1⁄10,ZFrac1⁄10,2,EF,1D,,Action,,,,
,,,matprintbox,matprintbox,matprintbox,2,EF,1E,,Other,,,,
,,,\uf01e,⁄,⁄,2,EF,2E,,Text/Symbol only,,,,
,,,\u2423,ᵤ,ᵤ,2,EF,2F,,Text/Symbol only,,,,
,,,\uf014n\uf01ed\uf00b\uf014Un\uf01ed,►n⁄d◄►Un⁄d,►n⁄d◄►Un⁄d,2,EF,30,,Postfix operator,,,,
,,,\uf014F\uf00b\uf014D,►F◄►D,►F◄►D,2,EF,31,,Postfix operator,,,,
,,,remainder(,remainder(,remainder(,2,EF,32,,Function,,,,
,,,\u03a3(,Σ(,Σ(,2,EF,33,,Function,,,,
,,,logBASE(,logBASE(,logBASE(,2,EF,34,,Function,,,,
,,,randIntNoRep(,randIntNoRep(,randIntNoRep(,2,EF,35,,Function,,,,
,,,CLASSIC,CLASSIC,CLASSIC,2,EF,36,,Action,,,Alias ?,
,,,MATHPRINT,MATHPRINT,MATHPRINT,2,EF,37,,Action,,,,
,,,CLASSIC,CLASSIC,CLASSIC,2,EF,38,,Action,,,,
,,,n\uf01ed,n⁄d,n⁄d,2,EF,39,,Action,,,,
,,,Un\uf01ed,Un⁄d,Un⁄d,2,EF,3A,,Action,,,,
,,,AUTO,AUTO,AUTO,2,EF,3B,,Action,,,,
,,,DEC,DEC,DEC,2,EF,3C,,Action,,,,
,,,FRAC,FRAC,FRAC,2,EF,3D,,Action,,,,
,,,FRAC-APPROX,FRAC-APPROX,FRAC-APPROX,2,EF,3D,,Action,,,Alias / Old,
,,,STATWIZARD ON,STATWIZARD ON,STATWIZARD ON,2,EF,3F,,Action,,,,
,,,STATWIZARD OFF,STATWIZARD OFF,STATWIZARD OFF,2,EF,40,,Action,,,,
,,,BLUE,BLUE,BLEU,2,EF,41,,Action,,,,
,,,RED,RED,ROUGE,2,EF,42,,Action,,,,
,,,BLACK,BLACK,NOIR,2,EF,43,,Action,,,,
,,,MAGENTA,MAGENTA,MAGENTA,2,EF,44,,Action,,,,
,,,GREEN,GREEN,VERT,2,EF,45,,Action,,,,
,,,ORANGE,ORANGE,ORANGE,2,EF,46,,Action,,,,
,,,BROWN,BROWN,MARRON,2,EF,47,,Action,,,,
,,,NAVY,NAVY,BLEU MRN,2,EF,48,,Action,,,,
,,,LTBLUE,LTBLUE,BLEU CLR,2,EF,49,,Action,,,,
,,,YELLOW,YELLOW,JAUNE,2,EF,4A,,Action,,,,
,,,WHITE,WHITE,BLANC,2,EF,4B,,Action,,,,
,,,LTGRAY,LTGRAY,GRIS CLR,2,EF,4C,,Action,,,,
,,,MEDGRAY,MEDGRAY,GRIS MOY,2,EF,4D,,Action,,,,
,,,GRAY,GRAY,GRIS,2,EF,4E,,Action,,,,
,,,DARKGRAY,DARKGRAY,GRIS FON,2,EF,4F,,Action,,,,
,,,Image1,Image1,Image1,2,EF,50,Read/Write,Variable,,,,
,,,Image2,Image2,Image2,2,EF,51,Read/Write,Variable,,,,
,,,Image3,Image3,Image3,2,EF,52,Read/Write,Variable,,,,
,,,Image4,Image4,Image4,2,EF,53,Read/Write,Variable,,,,
,,,Image5,Image5,Image5,2,EF,54,Read/Write,Variable,,,,
,,,Image6,Image6,Image6,2,EF,55,Read/Write,Variable,,,,
,,,Image7,Image7,Image7,2,EF,56,Read/Write,Variable,,,,
,,,Image8,Image8,Image8,2,EF,57,Read/Write,Variable,,,,
,,,Image9,Image9,Image9,2,EF,58,Read/Write,Variable,,,,
,,,Image0,Image0,Image0,2,EF,59,Read/Write,Variable,,,,
,,,GridLine ,GridLine ,LigneAff ,2,EF,5A,,Action,,,,
,,,BackgroundOn ,BackgroundOn ,ArrPlanAff ,2,EF,5B,,Action,,,,
,,,BackgroundOff,BackgroundOff,ArrPlanNAff,2,EF,64,,Action,,,,
,,,GraphColor(,GraphColor(,CouleurGraph(,2,EF,65,,Function,,,,
,,,TextColor(,TextColor(,CouleurTexte(,2,EF,67,,Function,,,,
,,,Asm84CPrgm,Asm84CPrgm,Asm84CPrgm,2,EF,68,,BASIC instruction only,,,,
,,,DetectAsymOn,DetectAsymOn,DétectAsymAct,2,EF,6A,,Action,,,,
,,,DetectAsymOff,DetectAsymOff,DétectAsymDés,2,EF,6B,,Action,,,,
,,,BorderColor ,BorderColor ,CouleurBord ,2,EF,6C,,Function,,,,
,,,\u00b7,·,·,2,EF,73,,Other,,,,
,,,Thin,Thin,Fin,2,EF,74,,Action,,,,
,,,Dot-Thin,Dot-Thin,Point fin,2,EF,75,,Action,,,,
,,,Asm83CEPrgm,Asm83CEPrgm,Asm83CEPrgm,2,EF,7A,,BASIC instruction only,,,,
,,,Asm84CEPrgm,Asm84CEPrgm,Asm84CEPrgm,2,EF,7A,,BASIC instruction only,,,,
,,,SEQ(\uF00E),SEQ(n),SEQ(n),2,EF,8F,,Action,,,CE OS 5.2+,
,,,SEQ(\uF00E+2),SEQ(n+1),SEQ(n+1),2,EF,90,,Action,,,CE OS 5.2+,
,,,SEQ(\uF00E+1),SEQ(n+2),SEQ(n+2),2,EF,91,,Action,,,CE OS 5.2+,
,,,LEFT,LEFT,GAUCHE,2,EF,92,,Action,,,CE OS 5.2+,
,,,CENTER,CENTER,CENTRE,2,EF,93,,Action,,,CE OS 5.2+,
,,,RIGHT,RIGHT,DROITE,2,EF,94,,Action,,,CE OS 5.2+,
,,,invBinom(,invBinom(,invBinom(,2,EF,95,,Function,,,CE OS 5.2+,
,,,Wait ,Wait ,Wait ,2,EF,96,,Function,,,CE OS 5.2+,
,,,toString(,toString(,versChaîne(,2,EF,97,,Function,,,CE OS 5.2+,
,,,eval(,eval(,eval(,2,EF,98,,Function,,,CE OS 5.2+,
,,,^,^,^,1,F0,,,Infix operator,,,,
,,,\uf006\u221a,ˣ√,ˣ√,1,F1,,,Infix operator,,,,
,,,1-Var Stats ,1-Var Stats ,Stats 1-Var ,1,F2,,,Function,,,,
,,,2-Var Stats ,2-Var Stats ,Stats 2-Var ,1,F3,,,Function,,,,
,,,LinReg(a+bx) ,LinReg(a+bx) ,RegLin(a+bx) ,1,F4,,,Function,,,,
,,,ExpReg ,ExpReg ,RegExp ,1,F5,,,Function,,,,
,,,LnReg ,LnReg ,RegLn ,1,F6,,,Function,,,,
,,,PwrReg ,PwrReg ,RegPuiss ,1,F7,,,Function,,,,
,,,Med-Med ,Med-Med ,Med-Med ,1,F8,,,Function,,,,
,,,QuadReg ,QuadReg ,RegQuad ,1,F9,,,Function,,,,
,,,ClrList ,ClrList ,EffListe ,1,FA,,,Function,,,,
,,,ClrTable,ClrTable,EffTable,1,FB,,,Function,,,,
,,,Histogram,Histogram,Histogramme,1,FC,,,Other,,,,
,,,xyLine,xyLine,Polygone,1,FD,,,Other,,,,
,,,Scatter,Scatter,Nuage,1,FE,,,Other,,,,
,,,LinReg(ax+b) ,LinReg(ax+b) ,RegLin(ax+b) ,1,FF,,,Function,,,,
